Chapter (English)	Chapter (Hindi)	Rubric (English)	Rubric (Hindi)	Medicine	Grading
HEAD	सिर	HEAD - HEAT - forenoon	सिर - गर्मी - पूर्वाह्न	lyc	1
HEAD	सिर	HEAD - HEAT - noon	सिर - गर्मी - दोपहर	Ant-c	2
HEAD	सिर	HEAD - HEAT - noon	सिर - गर्मी - दोपहर	bell	1
HEAD	सिर	HEAD - HEAT - noon	सिर - गर्मी - दोपहर	jatr	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	Anac	2
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	ant-t	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	arg-n	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	arum-t	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	bad	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	berb	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	bry	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	cann-s	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	carb-an	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	chin-s	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	dios	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	fago	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	graph	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	hyper	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	ip	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	lyc	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	mag-c	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	mag-m	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	mag-s	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	mang	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	nat-a	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	nat-m	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	nicc	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	ol-an	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	phos	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	phys	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	puls	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	sant	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	sep	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	spong	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	stront	1
HEAD	सिर	HEAD - HEAT - afternoon	सिर - गर्मी - दोपहर	sulph	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	Acon	2
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	alum	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	am-m	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	bor	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	calc	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	canth	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	chel	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	coc-c	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	cycl	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	grat	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	indg	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	kali-c	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	laur	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	lil-t	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	lobel	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	lyc	1
HEAD	सिर	HEAD - HEAT - evening	सिर - गर्मी - शाम	mag-c	1
