Chapter (English)	Chapter (Hindi)	Rubric (English)	Rubric (Hindi)	Medicine	Grading
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	ign	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	ip	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	kali-bi	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	kali-c	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	kali-n	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	kalm	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	lact	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	laur	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	led	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	lyc	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	lyssin	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	mag-s	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	merc	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	mez	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	mur-ac	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	nat-m	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	nit-ac	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	nux-m	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	par	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	phos	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	phos-ac	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	puls	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	rhodo	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	sabin	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	sars	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	sep	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	spig	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	staph	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	tarent	1
HEAD	सिर	HEAD - PAIN - touch agg. - on vertex, from	सिर - दर्द - छूने से बढ़ता है - तालू (शिरोबिंदु) पर	Sabin	2
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	Ars	2
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	asaf	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	bell	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	bry	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	calc	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	coloc	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	con	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	cycl	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	kali-n	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	mang	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	meny	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	mur-ac	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	phos	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	sars	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	thuj	1
HEAD	सिर	HEAD - PAIN - touch agg. - amel.	सिर - दर्द - छूने से घटता है	viol-t	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	Cham	2
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	glon	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	graph	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	lyc	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	merc-i-f	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	nat-m	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	plant	1
HEAD	सिर	HEAD - PAIN - turning body	सिर - दर्द - शरीर घुमाने पर	sil	1
HEAD	सिर	HEAD - PAIN - turning body - in bed	सिर - दर्द - शरीर घुमाने पर - बिस्तर में	Meph	2
HEAD	सिर	HEAD - PAIN - twilight agg.	सिर - दर्द - गोधूलि (शाम का धुंधलका) में - बढ़ता है	Ang	2
HEAD	सिर	HEAD - PAIN - twilight agg.	सिर - दर्द - गोधूलि (शाम का धुंधलका) में - बढ़ता है	caj	1
HEAD	सिर	HEAD - PAIN - twilight agg.	सिर - दर्द - गोधूलि (शाम का धुंधलका) में - बढ़ता है	puls	1
HEAD	सिर	HEAD - PAIN - twilight - amel.	सिर - दर्द - गोधूलि (शाम का धुंधलका) में - घटता है	Coca	2
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	Arn	2
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	Bell	3
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	bry	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	carb-v	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	chin	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	ign	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	kali-c	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	lyc	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	sil	1
HEAD	सिर	HEAD - PAIN - twitching	सिर - दर्द - फड़कने वाला (कंपन)	Sulph	3
HEAD	सिर	HEAD - PAIN - 3 p. m.	सिर - दर्द - दोपहर 3 बजे	Mag-c	2
HEAD	सिर	HEAD - PAIN - stooping	सिर - दर्द - झुकने पर	Arn	2
HEAD	सिर	HEAD - PAIN - walking	सिर - दर्द - चलने पर	Bell	2
